Fingerprint ID,coordinate_X,coordinate_Y,zone,c4:e9:84:42:ac:ff,00:26:5b:d1:93:38,00:06:91:d4:77:02,00:26:5b:d1:93:39,8c:5b:f0:78:a1:d6,00:06:91:d4:77:00,0c:47:3d:13:88:e8,0c:47:3d:13:88:e9,68:b6:fc:5b:01:08,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
71,0.0,0.0,Living Room,-70,0,-55,0,-66,-56,0,0,0,0,0,0,0,0,0,-76,-77
72,0.0,0.0,Living Room,-71,0,-55,0,-66,-55,0,0,0,-80,0,0,0,0,0,-76,-75
73,0.0,0.0,Living Room,-70,0,-55,0,-64,-55,0,0,0,-80,0,0,0,0,0,-77,-75
74,0.0,0.0,Living Room,-73,0,-66,0,-68,-65,0,0,0,-80,0,0,0,0,0,-82,-78
75,0.0,0.0,Living Room,-74,0,-56,0,-70,-56,0,0,0,-71,0,0,0,0,0,-81,-83
76,0.0,0.0,Living Room,-72,0,-56,0,-70,-56,0,0,0,-71,0,0,0,0,0,-92,-77
77,0.0,0.0,Living Room,-72,0,-56,0,-72,-56,0,0,0,-71,0,0,0,0,0,-82,-82
78,0.0,0.0,Living Room,-72,0,-56,0,-74,-56,0,0,0,-72,-73,0,0,0,0,-82,-78
79,0.0,0.0,Living Room,-72,0,-56,0,-70,-56,0,0,0,-73,-73,0,0,0,0,-92,-83
80,0.0,0.0,Living Room,-68,0,-56,0,-71,-56,0,0,0,-73,-73,0,0,0,0,-82,-83
81,0.0,0.0,Living Room,-69,0,-55,0,-69,-55,0,0,0,-73,-73,0,0,0,0,-81,-79
82,0.0,0.0,Living Room,-72,0,-55,0,-66,-55,0,0,0,-73,-72,0,0,0,0,-82,-83
83,0.0,0.0,Living Room,-76,0,-56,0,-67,-55,0,0,0,-73,-72,0,0,0,0,-84,-80
84,0.0,0.0,Living Room,-76,0,-54,0,-70,-54,0,0,0,0,0,0,0,-79,-78,-82,-68
85,0.0,0.0,Living Room,-65,0,-56,0,-70,-55,0,0,0,-79,0,0,0,-79,-78,-84,-66
86,0.0,0.0,Living Room,-66,0,-57,0,-71,-56,0,0,0,-77,-78,0,0,0,0,-85,-66
87,0.0,0.0,Living Room,-66,0,-57,0,-71,-57,0,0,0,-77,-78,0,0,0,0,-83,-64
88,0.0,0.0,Living Room,-66,0,-57,0,-72,-57,0,0,0,-77,-78,0,0,0,0,-83,-66
89,0.0,0.0,Living Room,-67,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,-82,-66
90,0.0,0.0,Living Room,-61,0,-57,0,-69,-57,0,0,0,-78,-78,0,0,0,0,-93,-66
91,0.0,0.0,Living Room,-64,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,-82,-67
92,0.0,0.0,Living Room,-68,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,-82,-65
93,0.0,0.0,Living Room,-67,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,-80,-66
94,0.0,0.0,Bathroom,-63,-80,-70,0,-59,-69,0,0,0,-78,-78,0,0,0,0,-75,-74
95,0.0,0.0,Bathroom,-71,0,-70,0,-60,-69,0,0,0,0,0,0,0,0,0,-76,-73
96,0.0,0.0,Bathroom,-74,0,-70,0,-63,-69,0,0,0,0,0,0,0,0,0,-74,-73
97,0.0,0.0,Bathroom,-70,0,-70,0,-63,-69,0,0,0,0,0,0,0,0,0,-78,-78
98,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,-75,-74
99,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,-75,-78
100,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,-74,-75
