Fingerprint ID,coordinate_X,coordinate_Y,c4:e9:84:42:ac:ff,00:06:91:d4:77:00,00:06:91:d4:77:02,8c:5b:f0:78:a1:d6,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,00:26:5b:d1:93:38,00:26:5b:d1:93:39,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3,E1:E9:C3:D9:09:C3
618,-0.5,-1.5,-63,-62,-63,-70,-73,0,0,0,0,0,0,0,-87,-76,0
619,-0.5,-1.5,-74,-63,-63,-71,-73,0,0,0,0,0,0,0,-88,-77,0
620,-0.5,-1.5,-67,-61,-62,0,-72,-72,0,0,0,0,0,0,-87,-79,0
621,-0.5,-1.5,-63,-62,-63,0,-72,-72,0,0,0,0,0,0,-86,-77,0
622,-0.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,-0.5,-1.5,-65,-66,-66,-65,-72,-71,0,0,0,0,0,0,-96,-78,0
624,-1.0,-1.5,-68,-59,-59,0,-69,-69,0,0,0,0,0,0,-82,-67,-86
625,-1.0,-1.5,-74,-59,-59,-74,-68,-67,0,0,0,0,0,0,-83,-68,0
626,-1.0,-1.5,-71,-61,0,-74,-68,-67,0,0,0,0,0,0,-81,-68,0
627,-1.0,-1.5,-73,-61,-62,-74,-68,-67,0,0,0,0,0,0,-85,-68,0
628,-1.0,-1.5,-73,-61,-62,-73,-68,-67,0,0,0,0,0,0,-81,-68,0
629,-1.0,-1.5,-72,-61,-62,-73,-68,-67,0,0,0,0,0,0,-81,-68,0
630,-1.0,-1.5,-72,-61,-62,-73,-68,-67,0,0,0,0,0,0,-81,-67,0
631,-1.0,-1.5,-72,-61,-61,-76,-68,-67,0,0,0,0,0,0,-81,-68,0
632,-1.0,-1.5,-72,-61,-61,-77,-68,-67,-76,0,0,0,0,0,-84,-69,0
633,-1.0,-1.5,-68,-61,-61,-73,-67,-67,-76,0,0,0,0,0,-81,-68,0
634,-1.5,-1.5,-67,-65,-65,-66,-74,-72,-76,-77,0,0,0,0,-79,-74,0
635,-1.5,-1.5,-69,-69,-69,-69,-75,-73,-76,-78,0,0,0,0,-78,-71,0
636,-1.5,-1.5,-68,-67,-66,-70,-75,-74,0,-78,0,0,0,0,-79,-70,0
637,-1.5,-1.5,-67,-65,-66,-67,-76,-74,0,-78,0,0,0,0,-86,-71,0
638,-1.5,-1.5,-67,-65,-66,-67,-76,-74,0,0,0,0,0,0,-84,-71,0
639,-1.5,-1.5,-67,-66,-65,0,-76,-74,0,0,0,0,0,0,-78,-73,0
640,-1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,-1.5,-1.5,-67,-65,-66,-65,-78,0,0,-79,0,0,0,0,-82,-71,0
642,-1.5,-1.5,-68,-65,-65,-65,-78,0,-79,-79,0,0,0,0,-78,-73,0
643,-1.5,-1.5,-67,-65,-65,-64,-78,0,-79,-79,0,0,0,0,-83,-71,0
644,-2.0,-1.5,-67,-71,-68,-68,-69,-69,-74,-74,0,0,-79,-76,-92,-76,0
645,-2.0,-1.5,-67,-72,-68,-68,-70,-69,-74,-74,0,0,-79,-76,-85,-75,0
646,-2.0,-1.5,-66,-74,-72,0,-70,-70,-74,-74,0,0,0,0,-88,-79,0
647,-2.0,-1.5,-65,-69,-69,0,-70,-71,-74,-74,0,0,-74,0,-87,-76,0
648,-2.0,-1.5,-67,-67,-67,-64,-70,-71,-74,-74,0,0,-74,0,-90,-75,0
649,-2.0,-1.5,-65,-68,-68,0,-71,-71,-75,-75,0,0,-76,0,-87,-76,0
650,-2.0,-1.5,-66,-67,-64,0,-71,-71,-75,-75,0,0,-77,-79,-88,-80,0
651,-2.0,-1.5,-65,-68,-66,0,-71,-71,-75,-75,0,0,-77,-79,-96,-76,0
652,-2.0,-1.5,-65,-68,-66,0,-72,-71,-75,-75,0,0,-77,-79,-86,-76,0
653,-2.0,-1.5,-65,-68,-67,-63,-71,-71,-75,-75,0,0,-77,-79,-98,-80,0
