coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi
0.0,3.5,-81,-78.2
0.0,3.5,-78,-78.0
0.0,3.5,-77,-77.5
0.0,3.5,-76,-77.0
0.0,3.5,-79,-77.5
0.0,3.5,-80,-80.0
0.0,3.5,-80,-80.0
0.0,3.5,-79,-79.66666666666667
0.0,3.5,-81,-80.0
0.0,4.0,-83,-83.0
0.0,4.0,-83,-83.0
0.0,4.0,-81,-82.33333333333333
0.0,4.0,-80,-81.75
0.0,4.0,-81,-81.6
0.0,4.0,-85,-85.0
0.0,4.0,-88,-86.5
0.0,4.0,-85,-86.0
0.0,4.0,-88,-86.5
0.0,4.0,-92,-92.0
0.0,4.0,-84,-88.0
0.0,4.0,-86,-87.33333333333333
0.0,4.0,-84,-86.5
0.0,4.0,-83,-85.8
0.0,4.0,-86,-86.0
0.0,4.0,-83,-84.5
0.0,4.0,-82,-83.66666666666667
0.0,4.0,-83,-83.0
0.0,4.0,-89,-86.0
0.0,4.0,-89,-87.0
0.0,4.0,-86,-86.0
0.0,4.0,-83,-84.5
0.0,4.0,-91,-86.66666666666667
0.0,4.0,-87,-87.0
0.0,4.0,-86,-86.5
0.0,4.0,-90,-90.0
