coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-51,-49.72,Personal
0.0,0.0,-50,-49.73076923076923,Personal
0.0,0.0,-51,-49.77777777777778,Personal
0.0,0.0,-51,-49.82142857142857,Personal
0.0,0.0,-51,-49.86206896551724,Personal
0.0,0.0,-51,-49.9,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-47,-47.8,Personal
0.0,0.0,-47,-47.666666666666664,Personal
0.0,0.0,-48,-47.714285714285715,Personal
0.0,0.0,-48,-47.75,Personal
0.0,0.0,-48,-47.77777777777778,Personal
0.0,0.0,-47,-47.7,Personal
0.0,0.0,-47,-47.63636363636363,Personal
0.0,0.0,-48,-47.666666666666664,Personal
0.0,0.0,-48,-47.69230769230769,Personal
0.0,0.0,-48,-47.714285714285715,Personal
0.0,0.0,-48,-47.733333333333334,Personal
0.0,0.0,-48,-47.75,Personal
0.0,0.0,-48,-47.76470588235294,Personal
0.0,0.0,-48,-47.77777777777778,Personal
0.0,0.0,-48,-47.78947368421053,Personal
0.0,0.0,-48,-47.8,Personal
0.0,0.0,-48,-47.80952380952381,Personal
0.0,0.0,-48,-47.81818181818182,Personal
0.0,0.0,-48,-47.82608695652174,Personal
0.0,0.0,-48,-47.833333333333336,Personal
0.0,0.0,-48,-47.84,Personal
0.0,0.0,-48,-47.84615384615385,Personal
0.0,0.0,-47,-47.81481481481482,Personal
0.0,0.0,-48,-47.82142857142857,Personal
0.0,0.0,-47,-47.793103448275865,Personal
0.0,0.0,-47,-47.766666666666666,Personal
0.0,0.0,-47,-47.74193548387097,Personal
0.0,0.0,-47,-47.71875,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-48,-47.5,Personal
0.0,0.0,-48,-47.666666666666664,Personal
0.0,0.0,-47,-47.5,Personal
0.0,0.0,-48,-47.6,Personal
0.0,0.0,-47,-47.5,Personal
0.0,0.0,-47,-47.42857142857143,Personal
0.0,0.0,-47,-47.375,Personal
0.0,0.0,-48,-47.44444444444444,Personal
0.0,0.0,-47,-47.4,Personal
0.0,0.0,-47,-47.36363636363637,Personal
0.0,0.0,-48,-47.416666666666664,Personal
0.0,0.0,-47,-47.38461538461539,Personal
0.0,0.0,-47,-47.357142857142854,Personal
0.0,0.0,-47,-47.333333333333336,Personal
0.0,0.0,-47,-47.3125,Personal
0.0,0.0,-47,-47.294117647058826,Personal
0.0,0.0,-47,-47.27777777777778,Personal
0.0,0.0,-47,-47.26315789473684,Personal
0.0,0.0,-48,-47.3,Personal
0.0,0.0,-50,-47.42857142857143,Personal
0.0,0.0,-50,-47.54545454545455,Personal
0.0,0.0,-50,-47.65217391304348,Personal
0.0,0.0,-50,-47.75,Personal
0.0,0.0,-51,-47.88,Personal
0.0,0.0,-50,-47.96153846153846,Personal
0.0,0.0,-50,-48.03703703703704,Personal
0.0,0.0,-50,-48.107142857142854,Personal
0.0,0.0,-50,-48.172413793103445,Personal
0.0,0.0,-50,-48.233333333333334,Personal
0.0,0.0,-51,-51.0,Personal
0.0,0.0,-51,-51.0,Personal
0.0,0.0,-51,-51.0,Personal
0.0,0.0,-50,-50.75,Personal
0.0,0.0,-50,-50.6,Personal
0.0,0.0,-50,-50.5,Personal
0.0,0.0,-50,-50.42857142857143,Personal
0.0,0.0,-50,-50.375,Personal
0.0,0.0,-50,-50.333333333333336,Personal
0.0,0.0,-50,-50.3,Personal
0.0,0.0,-50,-50.27272727272727,Personal
0.0,0.0,-50,-50.25,Personal
0.0,0.0,-50,-50.23076923076923,Personal
0.0,0.0,-50,-50.214285714285715,Personal
0.0,0.0,-50,-50.2,Personal
0.0,0.0,-48,-50.0625,Personal
0.0,0.0,-48,-49.94117647058823,Personal
0.0,0.0,-48,-49.833333333333336,Personal
0.0,0.0,-47,-49.68421052631579,Personal
0.0,0.0,-47,-49.55,Personal
0.0,0.0,-48,-49.476190476190474,Personal
0.0,0.0,-48,-49.40909090909091,Personal
0.0,0.0,-48,-49.34782608695652,Personal
0.0,0.0,-48,-49.291666666666664,Personal
0.0,0.0,-48,-49.24,Personal
0.0,0.0,-48,-49.19230769230769,Personal
0.0,0.0,-48,-49.148148148148145,Personal
0.0,0.0,-48,-49.107142857142854,Personal
0.0,0.0,-48,-49.06896551724138,Personal
0.0,0.0,-48,-49.03333333333333,Personal
0.0,0.0,-48,-49.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-50,-48.2,Personal
0.0,0.0,-50,-48.36363636363637,Personal
0.0,0.0,-50,-48.5,Personal
0.0,0.0,-50,-48.61538461538461,Personal
0.0,0.0,-50,-48.714285714285715,Personal
0.0,0.0,-50,-48.8,Personal
0.0,0.0,-50,-48.875,Personal
0.0,0.0,-50,-48.94117647058823,Personal
0.0,0.0,-50,-49.0,Personal
0.0,0.0,-50,-49.05263157894737,Personal
0.0,0.0,-50,-49.1,Personal
0.0,0.0,-50,-49.142857142857146,Personal
