,x,y,x_predicted,y_predicted,error
12,8.25,0.75,11.01353044707854,0.75,2.7635304470785407
13,8.25,0.75,10.249999999999998,0.7499999999999999,1.9999999999999982
0,10.25,0.75,8.25,0.75,2.0
1,10.25,0.75,9.046963628483248,0.7500000000000001,1.2030363715167525
2,10.25,0.75,10.35919731608282,0.75,0.10919731608282035
3,10.25,0.75,8.25,0.75,2.0
4,10.25,0.75,7.884086094483146,0.75,2.3659139055168543
5,10.25,0.75,7.50057767369694,0.7499999999999999,2.74942232630306
6,10.25,0.75,9.79340324006919,0.7500000000000001,0.45659675993080917
7,10.25,0.75,10.52728555599,0.7500000000000002,0.2772855559899998
8,10.25,0.75,10.534819287224172,0.7500000000000001,0.28481928722417216
9,10.25,0.75,11.337629539837605,0.7500000000000001,1.0876295398376055
10,10.25,0.75,8.25,0.75,2.0
11,10.25,0.75,11.524360596527197,0.75,1.2743605965271971
12,10.25,0.75,8.25,0.7499999999999999,2.0
13,10.25,0.75,9.06327733606112,0.7499999999999999,1.1867226639388804
14,10.25,0.75,11.434992975224482,0.7500000000000001,1.1849929752244819
15,10.25,0.75,8.25,0.75,2.0
16,10.25,0.75,7.880287578434934,0.7499999999999999,2.3697124215650662
0,12.25,0.75,13.750000000000002,1.25,1.5811388300841913
1,12.25,0.75,11.280455497346917,0.9524896563127225,0.9904638325241654
2,12.25,0.75,10.250000000000002,0.75,1.9999999999999982
3,12.25,0.75,13.750000000000002,1.25,1.5811388300841913
4,12.25,0.75,13.75,1.25,1.5811388300841898
5,12.25,0.75,13.75,1.2499999999999998,1.5811388300841898
6,12.25,0.75,13.75,1.25,1.5811388300841898
7,12.25,0.75,13.749999999999998,1.2499999999999998,1.581138830084188
8,12.25,0.75,10.25,0.75,2.0
9,12.25,0.75,13.135980275784343,1.1622828965406204,0.977209412489884
10,12.25,0.75,13.750000000000002,1.2500000000000002,1.5811388300841913
11,12.25,0.75,10.859892569483515,0.8371275099262164,1.3928351917449127
12,12.25,0.75,13.750000000000002,1.2500000000000002,1.5811388300841913
0,13.75,1.25,12.249999999999998,0.75,1.5811388300841913
1,13.75,1.25,12.249999999999998,0.75,1.5811388300841913
2,13.75,1.25,12.250000000000002,0.75,1.581138830084188
3,13.75,1.25,12.250000000000002,0.7500000000000001,1.581138830084188
4,13.75,1.25,12.25,0.75,1.5811388300841898
5,13.75,1.25,12.249999999999998,0.75,1.5811388300841913
6,13.75,1.25,12.25,0.75,1.5811388300841898
7,13.75,1.25,12.25,0.75,1.5811388300841898
8,13.75,1.25,12.25,0.75,1.5811388300841898
9,13.75,1.25,12.250000000000002,0.75,1.581138830084188
10,13.75,1.25,12.250000000000002,0.7500000000000001,1.581138830084188
11,13.75,1.25,12.25,0.7499999999999999,1.5811388300841898
12,13.75,1.25,12.250000000000002,0.75,1.581138830084188
0,13.75,3.25,13.75,4.927886200985125,1.6778862009851254
1,13.75,3.25,13.75,6.488560808022516,3.238560808022516
2,13.75,3.25,13.750000000000002,1.25,2.0
3,13.75,3.25,13.749999999999998,7.529150352413232,4.279150352413232
4,13.75,3.25,13.749999999999998,6.023193877011124,2.773193877011124
5,13.75,3.25,13.749999999999998,5.977914149881308,2.7279141498813084
6,13.75,3.25,13.750000000000002,6.44689504022532,3.1968950402253196
7,13.75,3.25,13.750000000000002,2.1175717215142122,1.1324282784857878
8,13.75,3.25,13.75,5.588556401096595,2.3385564010965947
9,13.75,3.25,13.75,6.827445527120028,3.5774455271200276
0,13.75,5.25,13.750000000000004,9.25,4.0
1,13.75,5.25,13.749999999999998,7.25,2.0
2,13.75,5.25,13.749999999999998,8.460355390438506,3.2103553904385063
3,13.75,5.25,13.749999999999998,7.25,2.0
4,13.75,5.25,13.750000000000002,9.250000000000002,4.000000000000002
5,13.75,5.25,13.750000000000004,8.396302115775825,3.146302115775825
6,13.75,5.25,13.750000000000002,8.846007184960706,3.5960071849607065
7,13.75,5.25,13.749999999999998,7.249999999999999,1.9999999999999991
8,13.75,5.25,13.75,8.474596032361362,3.2245960323613616
0,13.75,7.25,13.75,11.25,4.0
1,13.75,7.25,13.75,7.642543717307617,0.3925437173076167
2,13.75,7.25,13.75,8.47383596349273,1.2238359634927303
3,13.75,7.25,13.749999999999998,5.25,2.0
4,13.75,7.25,13.750000000000002,7.706544029861891,0.4565440298618908
5,13.75,7.25,13.75,7.5205386107317045,0.2705386107317045
6,13.75,7.25,13.749999999999998,7.618591999816446,0.36859199981644597
7,13.75,7.25,13.75,5.249999999999999,2.000000000000001
8,13.75,7.25,13.75,7.520277915220979,0.2702779152209791
9,13.75,7.25,13.749999999999998,6.756052388672495,0.4939476113275054
0,13.75,9.25,13.750000000000002,10.522554275071627,1.2725542750716272
1,13.75,9.25,13.750000000000002,6.85907420661647,2.3909257933835297
2,13.75,9.25,13.750000000000002,5.6747691646842835,3.5752308353157165
3,13.75,9.25,13.750000000000004,7.762987054023782,1.4870129459762182
4,13.75,9.25,13.750000000000004,11.250000000000002,2.0000000000000018
5,13.75,9.25,13.750000000000002,5.6507322399921005,3.5992677600078995
