,x,y,x_predicted,y_predicted,error
119,13.75,3.25,13.75,2.6174966853741863,0.6325033146258137
120,13.75,5.25,13.749999999999996,7.418027739129942,2.1680277391299416
121,13.75,5.25,13.75,7.237892500561743,1.9878925005617427
122,13.75,5.25,13.750000000000002,3.2500000000000004,1.9999999999999996
123,13.75,5.25,13.749999999999998,6.305139711946373,1.0551397119463726
124,13.75,5.25,13.750000000000002,6.603148537393416,1.353148537393416
125,13.75,5.25,13.75,3.2500000000000004,1.9999999999999996
126,13.75,5.25,13.749999999999996,3.37742863199706,1.8725713680029399
127,13.75,5.25,13.75,7.25,2.0
128,13.75,5.25,13.749999999999998,7.25,2.0
129,13.75,5.25,13.749999999999998,7.25,2.0
130,13.75,5.25,13.750000000000002,7.250000000000001,2.000000000000001
131,13.75,5.25,13.750000000000002,7.25,2.0
132,13.75,5.25,13.749999999999998,7.25,2.0
133,13.75,5.25,13.750000000000002,7.250000000000002,2.0000000000000018
134,13.75,5.25,13.750000000000004,7.250000000000001,2.000000000000001
135,13.75,5.25,13.749999999999998,7.249999999999999,1.9999999999999991
136,13.75,5.25,13.750000000000004,7.250000000000002,2.0000000000000018
137,13.75,5.25,13.75,7.249999999999999,1.9999999999999991
138,13.75,5.25,13.75,7.25,2.0
139,13.75,5.25,13.75,7.249999999999999,1.9999999999999991
140,13.75,7.25,13.749999999999993,6.5304259018456206,0.7195740981543794
141,13.75,7.25,13.750000000000002,5.25,2.0
142,13.75,7.25,13.749999999999998,5.474840126044051,1.7751598739559489
143,13.75,7.25,13.750000000000002,5.156557906804901,2.093442093195099
144,13.75,7.25,13.750000000000002,5.429674242345895,1.8203257576541052
145,13.75,7.25,13.750000000000002,5.474500558125354,1.7754994418746461
146,13.75,7.25,13.750000000000002,5.047048429297847,2.2029515707021528
147,13.75,7.25,13.749999999999998,5.720939788978219,1.5290602110217808
148,13.75,7.25,13.750000000000002,5.711370119556071,1.5386298804439287
149,13.75,7.25,13.75,5.475578406661313,1.7744215933386869
150,13.75,7.25,13.75,5.470986804035478,1.779013195964522
151,13.75,7.25,13.75,5.25704759809752,1.99295240190248
152,13.75,7.25,13.75,5.477651019404763,1.772348980595237
153,13.75,7.25,13.749999999999998,5.655785131949757,1.5942148680502433
154,13.75,7.25,13.75,5.544946266152928,1.7050537338470724
155,13.75,7.25,13.75,5.471733842931278,1.778266157068722
156,13.75,7.25,13.749999999999998,5.713918178388464,1.5360818216115364
157,13.75,7.25,13.75,5.918247015773738,1.331752984226262
158,13.75,7.25,13.750000000000002,5.25,2.0
159,13.75,7.25,13.750000000000002,5.971251059459639,1.2787489405403614
160,13.75,9.25,13.750000000000002,5.900262055313299,3.3497379446867006
161,13.75,9.25,13.750000000000002,6.542381675711729,2.707618324288271
