,filename,place,floor,x,y,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:15:f9:6c:7d:71,00:17:df:7d:70:52,00:17:df:7d:70:50,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,88:e3:ab:11:f4:ee,00:11:21:66:75:81,00:11:21:66:75:80,00:11:21:66:75:82,00:12:da:9e:32:31,00:12:da:9e:32:32,00:12:da:9e:32:30,00:11:21:6c:4e:71,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:12:80:17:ac:ae,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:12:da:9e:31:91,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
35,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,15,1461865628664,-62.0,-62.0,-62.0,-68.0,-68.0,-68.0,,-69.0,,,-70.0,-67.0,,-86.0,-86.0,-86.0,-80.0,-80.0,-81.0,-88.0,-89.0,,,,,,,,,,,,,,,,,,
36,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,16,1461865628664,-62.0,-62.0,-62.0,-68.0,-68.0,-68.0,,-71.0,,,-71.0,-71.0,,-86.0,-86.0,-85.0,-80.0,-80.0,-81.0,-88.0,-89.0,,,,,,,,,,,,,,,,,,
37,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,17,1461865628664,-54.0,-55.0,-55.0,-69.0,-69.0,-69.0,,-83.0,,,-71.0,-71.0,,-86.0,-85.0,-88.0,-81.0,-81.0,-83.0,-87.0,,,,,,,,,,,,,,,,,,,
38,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,18,1461865628664,-55.0,-56.0,-56.0,-66.0,-67.0,-66.0,,-70.0,,,-71.0,-70.0,,-86.0,-85.0,-84.0,-79.0,-80.0,-83.0,-88.0,-90.0,,,,,,,,,,,,,,,,,,
39,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,19,1461865628664,-56.0,-56.0,-56.0,-67.0,-67.0,-66.0,,-71.0,,,-72.0,-72.0,,-86.0,,-84.0,-81.0,-80.0,,-88.0,-88.0,,,,,,,,,,,,,,,,,,
40,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,0,1461865739703,-72.0,-72.0,-71.0,-75.0,-75.0,-75.0,,-71.0,,,-71.0,-71.0,,-82.0,-82.0,-83.0,-77.0,-78.0,-77.0,-89.0,-89.0,,,,,,,,,,,,,,,,,,
41,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,1,1461865739703,-53.0,-54.0,-53.0,-70.0,-71.0,-72.0,,-72.0,,,-68.0,-69.0,,-83.0,-85.0,-83.0,-74.0,-75.0,-74.0,-88.0,-89.0,-86.0,,,,,,,,,,,,,,,,,
42,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,2,1461865739703,-56.0,-56.0,-56.0,-73.0,-78.0,-73.0,,-70.0,,,-70.0,-70.0,,-84.0,-82.0,-84.0,-74.0,-74.0,-74.0,-87.0,-88.0,-86.0,,,,,,,,,,,,,,,,,
43,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,3,1461865739703,-54.0,-54.0,-54.0,-76.0,-76.0,-76.0,,-76.0,,,-76.0,-77.0,,-86.0,-85.0,-84.0,-76.0,-76.0,-76.0,-85.0,-88.0,,,,,,,,,,,,,,,,,,
44,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,4,1461865739703,-56.0,-56.0,-56.0,-77.0,-76.0,-76.0,,-70.0,,,-72.0,-72.0,,-85.0,-85.0,-84.0,-74.0,-74.0,-74.0,-85.0,-85.0,-88.0,,,,,,,,,,,,,,,,,
45,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,5,1461865739703,-56.0,-59.0,-58.0,-76.0,-76.0,-75.0,,-76.0,,,-75.0,-75.0,,-84.0,-85.0,-85.0,-75.0,-75.0,-75.0,-88.0,-87.0,-88.0,,,,,,,,,,,,,,,,,
46,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,6,1461865739703,-55.0,-55.0,-56.0,-78.0,-76.0,-80.0,,-78.0,,,-72.0,-71.0,,-86.0,-85.0,-85.0,-74.0,-74.0,-74.0,-87.0,-87.0,,,,,,,,,,,,,,,,,,
47,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,7,1461865739703,-55.0,-55.0,-55.0,-76.0,-77.0,-75.0,,-72.0,,,-81.0,-73.0,,-87.0,-87.0,-85.0,-74.0,-74.0,-73.0,-88.0,-85.0,,,,,,,,,,,,,,,,,,
48,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,8,1461865739703,-58.0,-58.0,-58.0,-76.0,-76.0,-76.0,,-70.0,,,-69.0,-69.0,,-86.0,-85.0,-86.0,-74.0,-74.0,-74.0,-88.0,-88.0,,,,,,,,,,,,,,,,,,
49,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,9,1461865739703,-55.0,-55.0,-54.0,-75.0,-75.0,-75.0,,-71.0,,,-71.0,-71.0,,-86.0,-84.0,-85.0,-74.0,-74.0,-74.0,-88.0,-88.0,,-90.0,,,,,,,,,,,,,,,,
50,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,10,1461865739703,-54.0,-54.0,-54.0,-81.0,-81.0,-81.0,,-71.0,,,-71.0,-72.0,,-83.0,-84.0,-86.0,-73.0,-74.0,-73.0,-90.0,-88.0,,-90.0,,,,,,,,,,,,,,,,
51,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,11,1461865739703,-55.0,-55.0,-55.0,-73.0,-74.0,-74.0,,-71.0,,,-71.0,-71.0,,-85.0,,-86.0,-76.0,-76.0,-73.0,-86.0,-89.0,,-91.0,,,,,,,,,,,,,,,,
52,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,12,1461865739703,-56.0,-56.0,-56.0,-83.0,-73.0,-72.0,,-71.0,,,-71.0,-72.0,,-85.0,-86.0,-85.0,-74.0,-74.0,-72.0,-86.0,-86.0,,-91.0,,,,,,,,,,,,,,,,
53,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,13,1461865739703,-54.0,-54.0,-54.0,-78.0,-78.0,-78.0,,-71.0,,,-70.0,-69.0,,-84.0,-85.0,-85.0,-75.0,-75.0,-75.0,,-86.0,,,,,,,,,,,,,,,,,,
54,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,14,1461865739703,-56.0,-57.0,-55.0,-71.0,-72.0,-71.0,,-73.0,,,-73.0,-82.0,,-87.0,-85.0,-86.0,-75.0,-75.0,-76.0,-87.0,-88.0,,,,,,,,,,,,,,,,,,
55,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,15,1461865739703,-56.0,-56.0,-56.0,-74.0,-75.0,-80.0,,-74.0,,,-74.0,-74.0,,-88.0,,-86.0,-76.0,-76.0,-76.0,-88.0,-87.0,-90.0,,,,,,,,,,,,,,,,,
56,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,16,1461865739703,-57.0,-57.0,-57.0,-77.0,-72.0,-76.0,,-68.0,,,-69.0,-69.0,,-84.0,,-84.0,-74.0,-75.0,-76.0,-89.0,-87.0,-89.0,,,,,,,,,,,,,,,,,
57,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,17,1461865739703,-56.0,-56.0,-57.0,-79.0,-79.0,-78.0,,-78.0,,,-68.0,-76.0,,-84.0,-83.0,-83.0,-74.0,-74.0,-74.0,-86.0,-89.0,-89.0,,,,,,,,,,,,,,,,,
58,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,18,1461865739703,-57.0,-59.0,-58.0,-82.0,-82.0,-82.0,,-74.0,,,-75.0,-74.0,,-84.0,-83.0,-82.0,-78.0,-77.0,-78.0,-88.0,-89.0,,,,,,,,,,,,,,,,,,
59,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,19,1461865739703,-59.0,-58.0,-58.0,-78.0,-78.0,-77.0,,-74.0,,,-75.0,-74.0,,-83.0,-83.0,-82.0,-75.0,-75.0,-74.0,-88.0,-88.0,,-91.0,,,,,,,,,,,,,,,,
60,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,37.671387,0,1461865897309,-55.0,-55.0,-55.0,-73.0,-73.0,-73.0,,-55.0,,,-56.0,-55.0,,-86.0,-87.0,-86.0,-67.0,-68.0,-67.0,,-87.0,,,,,,,,,,,,,,,,,,
61,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,1,1461865897309,-55.0,-55.0,-55.0,-79.0,-78.0,-73.0,,-64.0,,,-64.0,-64.0,,-84.0,-87.0,-85.0,-68.0,-69.0,-69.0,-88.0,-87.0,-88.0,,,,,,,,,,,,,,,,,
62,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,2,1461865897309,-53.0,-53.0,-54.0,-74.0,-79.0,-73.0,,-62.0,,,-60.0,-62.0,,-84.0,,-84.0,-64.0,-64.0,-64.0,-89.0,-87.0,-88.0,,,,,,,,,,,,,,,,,
63,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,3,1461865897309,-56.0,-57.0,-56.0,-74.0,-74.0,-84.0,,-71.0,,,-71.0,-71.0,,-84.0,-88.0,-88.0,-65.0,-65.0,-65.0,-89.0,-88.0,-89.0,,,,,,,,,,,,,,,,,
64,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,4,1461865897309,-55.0,-56.0,-55.0,-88.0,-77.0,-77.0,,-67.0,,,-65.0,-69.0,,-86.0,-86.0,-87.0,-65.0,-65.0,-63.0,-83.0,-84.0,-84.0,,,,,,,,,,,,,,,,,
65,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,5,1461865897309,-56.0,-56.0,-56.0,-76.0,-76.0,-75.0,,-67.0,,,-64.0,-67.0,,-86.0,-86.0,-86.0,-64.0,-64.0,-64.0,-88.0,-85.0,-87.0,,,,,,,,,,,,,,,,,
66,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,6,1461865897309,-55.0,-55.0,-55.0,-79.0,-76.0,-77.0,,-66.0,,,-66.0,-65.0,,-86.0,,-86.0,-64.0,-64.0,-64.0,-86.0,-88.0,-87.0,,,,,,,,,,,,,,,,,
67,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,7,1461865897309,-55.0,-55.0,-56.0,-75.0,-74.0,-79.0,,-65.0,,,-65.0,-65.0,,-88.0,-86.0,-86.0,-64.0,-64.0,-64.0,-87.0,-86.0,,,,,,,,,,,,,,,,,,
68,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,8,1461865897309,-55.0,-55.0,-55.0,-77.0,-78.0,-78.0,,-66.0,,,-65.0,-68.0,,-88.0,-86.0,-86.0,-65.0,-65.0,-65.0,-87.0,-86.0,,,,,,,,,,,,,,,,,,
69,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,9,1461865897309,-56.0,-56.0,-56.0,-77.0,-76.0,-77.0,,-69.0,,,-65.0,-65.0,,-85.0,-84.0,-83.0,-63.0,-63.0,-63.0,-87.0,-86.0,-91.0,,,,,,,,,,,,,,,,,
