,filename,place,floor,x,y,orientation,sample_id,mac_address,timestamp,signal_strength
69,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:15:f9:6c:7a:d2,1461864822344,-69
70,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:15:f9:6c:7a:d1,1461864822344,-69
71,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:15:f9:6c:7a:d0,1461864822344,-69
72,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:17:df:7d:70:50,1461864822344,-88
73,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:17:df:7d:70:52,1461864822344,-89
74,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:17:df:7d:70:51,1461864822344,-88
75,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:15:f9:6c:7a:e1,1461864822344,-61
76,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:15:f9:6c:7a:e0,1461864822344,-61
77,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:15:f9:6c:7a:e2,1461864822344,-61
78,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:15:f9:6c:7a:d2,1461864822344,-69
79,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:15:f9:6c:7a:d1,1461864822344,-69
80,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:15:f9:6c:7a:d0,1461864822344,-69
81,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:17:df:7d:70:50,1461864822344,-88
82,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:17:df:7d:70:52,1461864822344,-87
83,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,8,00:17:df:7d:70:51,1461864822344,-87
84,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:15:f9:6c:7a:e1,1461864822344,-60
85,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:15:f9:6c:7a:e0,1461864822344,-58
86,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:15:f9:6c:7a:e2,1461864822344,-60
87,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:15:f9:6c:7a:d2,1461864822344,-69
88,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:15:f9:6c:7a:d1,1461864822344,-69
89,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:15:f9:6c:7a:d0,1461864822344,-69
90,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:17:df:7d:70:50,1461864822344,-88
91,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:17:df:7d:70:52,1461864822344,-87
