Fingerprint ID,coordinate_X,coordinate_Y,00:12:da:9e:32:31,00:15:f9:6c:7d:72,00:15:f9:6c:7d:71,00:15:f9:6c:7d:70,00:12:da:9e:32:30,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:50:e2,00:11:21:6c:4e:70,00:11:21:6c:50:e1,00:11:21:6c:50:e0,00:12:da:9e:32:32,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:66:75:81,00:11:21:66:75:82,00:11:21:66:75:80,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:1b:fc:22:43:4e,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:12:80:17:ac:ae,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:17:df:7d:70:51,00:17:df:7d:70:52,00:12:da:9e:31:91,00:0f:60:06:71:2e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
51,12.25,0.75,-76.0,-71.0,-71.0,-71.0,-73.0,-89.0,-86.0,,,,,,-76.0,,,-85.0,-86.0,,-55.0,-55.0,-55.0,,-73.0,-74.0,-74.0,-91.0,,,,,,,,,,,,,
52,12.25,0.75,-74.0,-72.0,-71.0,-71.0,-72.0,-86.0,-86.0,,,,,,-74.0,,,-85.0,-85.0,-86.0,-56.0,-56.0,-56.0,,-83.0,-73.0,-72.0,-91.0,,,,,,,,,,,,,
53,12.25,0.75,-75.0,-69.0,-71.0,-70.0,-75.0,-86.0,,,,,,,-75.0,,,-84.0,-85.0,-85.0,-54.0,-54.0,-54.0,,-78.0,-78.0,-78.0,,,,,,,,,,,,,,
54,12.25,0.75,-75.0,-82.0,-73.0,-73.0,-76.0,-88.0,-87.0,,,,,,-75.0,,,-87.0,-86.0,-85.0,-55.0,-56.0,-57.0,,-71.0,-72.0,-71.0,,,,,,,,,,,,,,
55,12.25,0.75,-76.0,-74.0,-74.0,-74.0,-76.0,-87.0,-88.0,,,-90.0,,,-76.0,,,-88.0,-86.0,,-56.0,-56.0,-56.0,,-74.0,-75.0,-80.0,,,,,,,,,,,,,,
56,12.25,0.75,-74.0,-69.0,-68.0,-69.0,-76.0,-87.0,-89.0,,,-89.0,,,-75.0,,,-84.0,-84.0,,-57.0,-57.0,-57.0,,-77.0,-72.0,-76.0,,,,,,,,,,,,,,
57,12.25,0.75,-74.0,-76.0,-78.0,-68.0,-74.0,-89.0,-86.0,,,-89.0,,,-74.0,,,-84.0,-83.0,-83.0,-57.0,-56.0,-56.0,,-79.0,-79.0,-78.0,,,,,,,,,,,,,,
58,12.25,0.75,-78.0,-74.0,-74.0,-75.0,-78.0,-89.0,-88.0,,,,,,-77.0,,,-84.0,-82.0,-83.0,-58.0,-57.0,-59.0,,-82.0,-82.0,-82.0,,,,,,,,,,,,,,
59,12.25,0.75,-75.0,-74.0,-74.0,-75.0,-74.0,-88.0,-88.0,,,,,,-75.0,,,-83.0,-82.0,-83.0,-58.0,-59.0,-58.0,,-78.0,-78.0,-77.0,-91.0,,,,,,,,,,,,,
60,13.75,1.25,-67.0,-55.0,-55.0,-56.0,-67.0,-87.0,,,,,,,-68.0,,,-86.0,-86.0,-87.0,-55.0,-55.0,-55.0,,-73.0,-73.0,-73.0,,,,,,,,,,,,,,
61,13.75,1.25,-68.0,-64.0,-64.0,-64.0,-69.0,-87.0,-88.0,,,-88.0,,,-69.0,,,-84.0,-85.0,-87.0,-55.0,-55.0,-55.0,,-79.0,-78.0,-73.0,,,,,,,,,,,,,,
62,13.75,1.25,-64.0,-62.0,-62.0,-60.0,-64.0,-87.0,-89.0,,,-88.0,,,-64.0,,,-84.0,-84.0,,-54.0,-53.0,-53.0,,-74.0,-79.0,-73.0,,,,,,,,,,,,,,
63,13.75,1.25,-65.0,-71.0,-71.0,-71.0,-65.0,-88.0,-89.0,,,-89.0,,,-65.0,,,-84.0,-88.0,-88.0,-56.0,-56.0,-57.0,,-74.0,-74.0,-84.0,,,,,,,,,,,,,,
64,13.75,1.25,-65.0,-69.0,-67.0,-65.0,-63.0,-84.0,-83.0,,,-84.0,,,-65.0,,,-86.0,-87.0,-86.0,-55.0,-55.0,-56.0,,-88.0,-77.0,-77.0,,,,,,,,,,,,,,
65,13.75,1.25,-64.0,-67.0,-67.0,-64.0,-64.0,-85.0,-88.0,,,-87.0,,,-64.0,,,-86.0,-86.0,-86.0,-56.0,-56.0,-56.0,,-76.0,-76.0,-75.0,,,,,,,,,,,,,,
66,13.75,1.25,-64.0,-65.0,-66.0,-66.0,-64.0,-88.0,-86.0,,,-87.0,,,-64.0,,,-86.0,-86.0,,-55.0,-55.0,-55.0,,-79.0,-76.0,-77.0,,,,,,,,,,,,,,
67,13.75,1.25,-64.0,-65.0,-65.0,-65.0,-64.0,-86.0,-87.0,,,,,,-64.0,,,-88.0,-86.0,-86.0,-56.0,-55.0,-55.0,,-75.0,-74.0,-79.0,,,,,,,,,,,,,,
68,13.75,1.25,-65.0,-68.0,-66.0,-65.0,-65.0,-86.0,-87.0,,,,,,-65.0,,,-88.0,-86.0,-86.0,-55.0,-55.0,-55.0,,-77.0,-78.0,-78.0,,,,,,,,,,,,,,
69,13.75,1.25,-63.0,-65.0,-69.0,-65.0,-63.0,-86.0,-87.0,,,-91.0,,,-63.0,,,-85.0,-83.0,-84.0,-56.0,-56.0,-56.0,,-77.0,-76.0,-77.0,,,,,,,,,,,,,,
70,13.75,1.25,-65.0,-68.0,-67.0,-68.0,-65.0,-87.0,-86.0,,,-91.0,,,-65.0,,,-86.0,-83.0,-84.0,-56.0,-57.0,-57.0,,-76.0,-81.0,-81.0,,,,,,,,,,,,,,
71,13.75,1.25,-65.0,-67.0,-67.0,-67.0,-65.0,-87.0,-86.0,,,-88.0,,,-65.0,,,-87.0,-86.0,,-57.0,-57.0,-57.0,,-76.0,-79.0,-77.0,,,,,,,,,,,,,,
72,13.75,1.25,-65.0,-67.0,-66.0,-67.0,-64.0,-86.0,-87.0,,,-88.0,,,-63.0,,,-87.0,-86.0,,-57.0,-58.0,-56.0,,-80.0,-80.0,-76.0,,,,,,,,,,,,,,
73,13.75,1.25,-65.0,-66.0,-65.0,-66.0,-65.0,-87.0,-90.0,,,-87.0,,,-64.0,,,-87.0,-85.0,,-56.0,-56.0,-57.0,,-77.0,-75.0,-77.0,,,,,,,,,,,,,,
74,13.75,1.25,-63.0,-65.0,-64.0,-65.0,-64.0,-87.0,-90.0,,,-87.0,,,-64.0,,,-85.0,-85.0,-85.0,-55.0,-55.0,-56.0,,-76.0,-76.0,-78.0,,,,,,,,,,,,,,
75,13.75,1.25,-64.0,-61.0,-64.0,-64.0,-64.0,-86.0,-86.0,,,-85.0,,,-64.0,,,-85.0,-85.0,-85.0,-64.0,-56.0,-64.0,,-77.0,-76.0,-77.0,,,,,,,,,,,,,,
