,filename,place,floor,x,y,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:15:f9:6c:7d:72,00:15:f9:6c:7d:70,00:15:f9:6c:7d:71,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:17:df:7d:70:51,00:17:df:7d:70:50,00:17:df:7d:70:52,88:e3:ab:11:f4:ee,00:11:21:66:75:80,00:11:21:66:75:82,00:11:21:66:75:81,00:11:21:6c:4e:71,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:12:80:17:ac:ae,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:12:da:9e:31:91,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
71,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,11,1.46187E+12,-57,-57,-57,-76,-79,-77,-67,-67,-67,-65,-65,-65,,,,,,-86,-87,-86,-87,-88,,,,,,,,,,,,,,,,,
72,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,12,1.46187E+12,-58,-56,-57,-80,-80,-76,-67,-67,-66,-65,-64,-63,,,,,,-86,-87,-87,-86,-88,,,,,,,,,,,,,,,,,
73,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,13,1.46187E+12,-56,-57,-56,-77,-75,-77,-66,-66,-65,-65,-65,-64,,,,,,-85,-87,-90,-87,-87,,,,,,,,,,,,,,,,,
74,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,14,1.46187E+12,-55,-56,-55,-76,-76,-78,-65,-65,-64,-63,-64,-64,,,,,-85,-85,-85,-90,-87,-87,,,,,,,,,,,,,,,,,
75,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,15,1.46187E+12,-56,-64,-64,-77,-76,-77,-61,-64,-64,-64,-64,-64,,,,,-85,-85,-85,-86,-86,-85,,,,,,,,,,,,,,,,,
76,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,16,1.46187E+12,-54,-55,-54,-80,-77,-80,-70,-67,-67,-64,-62,-64,,,,,-85,-81,-83,-87,-87,-85,,,,,,,,,,,,,,,,,
77,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,17,1.46187E+12,-56,-57,-57,-79,-74,-77,-66,-64,-66,-69,-69,-65,,,,,,-81,-86,-87,-88,,,,,,,,,,,,,,,,,,
78,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,18,1.46187E+12,-56,-56,-57,-80,-80,-80,-64,-63,-64,-66,-66,-65,,,,,,,-87,-88,-87,,,,,,,,,,,,,,,,,,
79,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,19,1.46187E+12,-57,-56,-56,-80,-77,-77,-64,-65,-65,-66,-65,-66,,,,,-87,-88,-86,-89,-88,,,,,,,,,,,,,,,,,,
80,"left-to-right-point(13.75,11.25).json",ed2.fct.unl.pt,2,13.75,11.25,140.28876,0,1.46187E+12,-79,-80,-80,,,,-51,-51,-52,-64,-64,-63,,,,,-79,-79,-78,-77,-76,-77,,-81,-78,-78,-80,,-80,-81,,,,,,,,,
