Fingerprint ID,coordinate_X,coordinate_Y,zone,f0:5c:19:94:1a:40,f0:5c:19:94:1a:41,f0:5c:19:94:1a:42,34:fc:b9:18:e4:c1,34:fc:b9:18:e4:c0,34:fc:b9:18:e4:c2,f0:5c:19:94:1a:50,f0:5c:19:94:1a:51,f0:5c:19:94:1a:52,4c:ed:fb:5a:5c:0c,4c:ed:fb:5a:5c:08,f0:5c:19:94:19:e1,f0:5c:19:94:19:e2,34:fc:b9:18:e8:21,34:fc:b9:18:e8:22,34:fc:b9:18:e8:20,f0:5c:19:94:19:e0,34:fc:b9:18:e4:d2,48:ee:0c:ed:93:b5,34:fc:b9:18:e4:d0,34:fc:b9:18:e4:d1,34:fc:b9:18:e8:30,34:fc:b9:18:e8:32,10:7b:44:eb:73:98,f0:5c:19:94:19:f2,f0:5c:19:94:19:f0,34:fc:b9:18:e7:21,34:fc:b9:18:e7:22,34:fc:b9:18:e7:20,f0:5c:19:94:19:f1,E1:E9:C3:D9:09:C3,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
317,1.0,2.0,Social,-67,-67,-67,-83,-84,-84,-83,-83,-83,-94,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-90,-98
318,1.0,2.0,Social,-67,-67,-66,0,0,0,-84,-84,-84,-95,-80,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-90,-98
319,1.0,2.0,Social,-64,-67,-65,0,-85,0,-83,-82,-83,-94,-84,-86,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-88,-99
320,1.0,2.0,Social,-66,-67,-66,-82,0,-84,-84,-84,-84,-93,-82,-84,0,-86,0,0,-88,0,-94,0,0,0,0,0,0,0,0,0,0,0,-87,-90,-96
321,1.0,2.0,Social,-67,-67,-67,0,0,0,-84,-84,-85,-95,-80,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-84,-98
322,1.0,2.0,Social,-66,-67,-67,-82,0,-86,-84,-85,-84,-95,-80,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,-87,-84,-98
323,1.0,2.0,Social,-63,-65,-59,-82,0,-84,-84,-85,-85,-93,-78,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-84,-94
324,1.0,2.0,Social,-62,-65,-62,-80,-81,-82,-83,-82,-82,-95,-79,0,-86,-85,-87,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-85,-83,-95
325,0.0,3.0,Personal,-62,-67,-65,0,0,0,-78,-79,-78,0,-80,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,0,0,0,0,0,-93,-88,-84
326,0.0,3.0,Personal,-65,-66,-65,-80,-80,-82,-77,-77,-77,0,-75,-90,-88,0,0,0,-89,-87,0,0,0,0,0,0,0,0,0,0,0,0,-95,-85,-84
327,0.0,3.0,Personal,-63,-64,-64,0,0,0,-78,-78,-78,0,-75,-90,-89,0,0,0,0,-87,-95,0,0,0,0,0,0,0,0,0,0,0,-93,-85,-83
328,0.0,3.0,Personal,-64,-63,-64,0,0,0,-78,-78,-78,0,-74,-91,-88,-75,-78,-79,-90,-88,-93,0,0,0,0,0,0,0,0,0,0,0,-90,-84,-82
329,0.0,3.0,Personal,-63,-64,-63,0,0,0,-78,-78,-78,0,-77,-90,-89,0,0,0,0,-88,-95,0,0,0,0,0,0,0,0,0,0,0,-92,-85,-83
330,0.0,3.0,Personal,-65,-64,-62,0,0,0,-77,-78,-78,-94,-77,-90,-88,0,0,0,0,-89,-95,0,0,0,0,0,0,0,0,0,0,0,-94,-85,-84
331,0.0,3.0,Personal,-64,-63,-62,0,0,-82,-78,-78,-78,0,-76,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-87,-85,-84
332,0.0,3.0,Personal,-65,-63,-63,-80,-82,-84,-78,-78,-78,0,-75,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-81,-85
333,0.0,3.0,Personal,-66,-63,-65,0,0,0,-78,-78,-78,0,-75,0,-91,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-87,-81,-87
334,0.0,3.0,Personal,-64,-64,-62,0,0,0,-78,-78,-78,0,-76,0,0,0,-80,0,0,-88,-93,0,0,0,0,0,0,0,0,0,0,0,-89,-82,-86
335,0.0,3.0,Personal,-65,-64,-64,0,0,0,-78,-78,-78,0,-76,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-86,-82,-86
336,0.0,3.0,Personal,-63,-63,-62,-80,-82,-81,-78,-78,-78,0,-76,0,0,-75,-79,-80,0,-88,-94,0,0,0,0,0,0,0,0,0,0,0,-86,-82,-85
337,0.0,3.0,Personal,-63,-64,-62,0,0,0,-78,-78,-78,0,-76,0,0,-75,-79,-79,0,0,-95,0,0,0,0,0,0,0,0,0,0,0,-87,-87,-85
338,0.0,3.0,Personal,-63,-64,-63,0,0,0,-78,-78,-78,0,-75,0,0,0,0,0,0,-88,-95,0,0,0,0,0,0,0,0,0,0,0,-87,-89,-84
339,0.0,3.0,Personal,-63,-64,-63,0,0,0,-78,-78,-78,0,-77,0,0,0,0,0,0,-88,-95,0,0,0,0,0,0,0,0,0,0,0,-87,-88,-84
340,0.0,3.0,Personal,-65,-65,-63,0,0,0,-79,-78,-78,0,-76,0,-91,-75,-92,-79,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-87,-88,-83
341,0.0,3.0,Personal,-64,-65,-63,0,0,0,-79,-79,-79,0,-76,0,0,-75,-78,-78,0,0,-94,0,0,0,0,0,0,0,0,0,0,0,-86,-88,-85
342,0.0,3.0,Personal,-63,-64,-63,0,0,0,-78,-78,-78,0,-76,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,-94,-86,-85
343,0.0,3.0,Personal,-64,-64,-62,0,0,0,-78,-78,-77,0,-75,0,-91,-75,-89,-78,0,-89,-93,0,0,0,0,0,0,0,0,0,0,0,-93,-85,-84
344,0.0,3.0,Personal,-64,-64,-63,0,0,0,-78,-78,-78,0,-76,0,-90,-75,0,-79,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-87,-82,-85
345,0.0,3.0,Personal,-63,-64,-64,0,0,0,-78,-78,-78,0,-76,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,-87,-88,-85
346,0.0,3.0,Personal,-63,-64,-64,0,0,0,-78,-78,-78,0,-77,0,0,0,0,0,0,-87,-94,0,0,0,0,0,0,0,0,0,0,0,-92,-87,-83
347,0.0,3.0,Personal,-63,-64,-62,0,0,0,-78,-78,-78,0,-76,0,-90,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-96,-87,-84
348,0.0,3.0,Personal,-64,-64,-62,0,0,0,-77,-78,-77,0,-76,0,0,-75,-78,-79,0,-87,-95,0,0,0,0,0,0,0,0,0,0,0,-86,-86,-84
349,0.0,3.0,Personal,-65,-64,-64,0,0,0,-78,-78,-78,0,-75,-90,-89,0,0,0,0,-88,-92,0,0,0,0,0,0,0,0,0,0,0,-92,-85,-85
350,0.0,3.0,Personal,-64,-64,-63,0,0,0,-78,-78,-77,-95,-77,0,-92,0,0,0,0,-86,-93,0,0,0,0,0,0,0,0,0,0,0,-91,-86,-84
351,0.0,3.0,Personal,-63,-63,-64,0,0,0,-77,-77,-77,0,-76,0,-89,0,0,0,0,-88,-93,0,0,0,0,0,0,0,0,0,0,0,-93,-86,-83
352,0.0,3.0,Personal,-64,-64,-65,0,0,0,-77,-77,-77,0,-75,-91,-92,-75,0,-78,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,-93,-85,-83
353,0.0,3.0,Personal,-64,-64,-63,-79,-82,-81,-78,-78,-78,0,-76,-91,-89,0,0,0,0,-88,-93,0,0,0,0,0,0,0,0,0,0,0,-94,-86,-83
354,0.0,3.0,Personal,-64,-63,-63,0,0,0,-78,-78,-78,-95,-77,0,0,0,0,0,0,-88,-92,0,0,0,0,0,0,0,0,0,0,0,-94,-85,-86
355,0.0,2.0,Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-90,-88
356,0.0,2.0,Social,-67,-59,-69,0,0,0,-79,-80,-80,-88,-85,0,0,0,-73,0,0,-86,0,-86,0,0,0,0,0,0,0,0,0,0,-94,-82,-86
357,0.0,2.0,Social,-70,-60,-60,0,0,0,-80,-80,-80,-86,-86,-85,-86,-74,-75,-75,-85,-82,-96,-82,-82,-86,-86,0,0,0,0,0,0,0,-80,-88,-84
358,0.0,2.0,Social,-66,-63,-66,0,0,0,-84,-84,-83,-89,-80,-84,-89,-77,-83,-83,0,-84,0,-84,-84,-87,-87,0,0,0,0,0,0,0,-89,-88,-94
359,0.0,2.0,Social,-65,-62,-66,0,0,0,-83,-82,-83,-92,-87,-90,-89,0,0,0,0,-79,-93,-79,-79,0,-89,0,0,0,0,0,0,0,-87,-84,-91
360,0.0,2.0,Social,-68,-67,-68,0,0,0,-83,-83,-82,-91,-80,-85,-85,0,0,0,-85,-81,-93,-82,-82,0,0,0,0,0,0,0,0,0,-85,0,-92
361,0.0,2.0,Social,-67,-66,-69,0,0,0,-84,-84,-84,-89,-76,-88,-90,-76,-79,-77,-90,-79,-95,-78,-79,0,-89,0,0,0,0,0,0,0,-85,-80,-90
362,0.0,2.0,Social,-69,-69,-66,0,0,0,0,0,0,-90,-77,0,0,0,0,0,0,-79,-93,-79,-79,0,0,0,0,0,0,0,0,0,-84,-79,-89
363,0.0,2.0,Social,-68,-69,-66,-77,-78,-78,-80,-80,-80,-92,-74,-88,-90,0,0,-80,0,-80,0,-79,-80,0,-90,0,0,0,0,0,0,0,-87,-79,-85
364,0.0,2.0,Social,-68,-66,-66,0,0,0,-82,-83,-83,-91,-77,-88,0,0,0,0,0,-77,-93,-77,-78,0,0,0,0,0,0,0,0,0,-86,-82,-86
