coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,2.0,-82,-78.57142857142857,1-2 meters
0.0,2.0,-80,-78.75,1-2 meters
0.0,2.0,-82,-79.11111111111111,1-2 meters
0.0,2.5,-79,-79.0,2-3 meters
0.0,2.5,-83,-81.0,2-3 meters
0.0,2.5,-75,-79.0,2-3 meters
0.0,2.5,-87,-81.0,2-3 meters
0.0,2.5,-86,-86.0,2-3 meters
0.0,2.5,-76,-81.0,2-3 meters
0.0,2.5,-87,-83.0,2-3 meters
0.0,2.5,-86,-83.75,2-3 meters
0.0,2.5,-89,-84.8,2-3 meters
0.0,2.5,-86,-86.0,2-3 meters
0.0,2.5,-78,-82.0,2-3 meters
0.0,2.5,-89,-84.33333333333333,2-3 meters
0.0,2.5,-77,-82.5,2-3 meters
0.0,2.5,-77,-77.0,2-3 meters
0.0,2.5,-90,-83.5,2-3 meters
0.0,2.5,-77,-81.33333333333333,2-3 meters
0.0,2.5,-86,-82.5,2-3 meters
0.0,2.5,-87,-87.0,2-3 meters
0.0,2.5,-87,-87.0,2-3 meters
0.0,2.5,-85,-86.33333333333333,2-3 meters
0.0,2.5,-76,-83.75,2-3 meters
0.0,2.5,-84,-83.8,2-3 meters
0.0,2.5,-78,-78.0,2-3 meters
0.0,2.5,-87,-82.5,2-3 meters
0.0,2.5,-88,-84.33333333333333,2-3 meters
0.0,2.5,-88,-85.25,2-3 meters
0.0,2.5,-77,-77.0,2-3 meters
0.0,2.5,-86,-81.5,2-3 meters
0.0,2.5,-87,-83.33333333333333,2-3 meters
0.0,2.5,-76,-81.5,2-3 meters
0.0,2.5,-76,-76.0,2-3 meters
0.0,2.5,-78,-77.0,2-3 meters
0.0,2.5,-84,-79.33333333333333,2-3 meters
0.0,2.5,-76,-78.5,2-3 meters
0.0,2.5,-83,-79.4,2-3 meters
0.0,2.5,-76,-76.0,2-3 meters
0.0,2.5,-86,-81.0,2-3 meters
0.0,2.5,-84,-82.0,2-3 meters
0.0,2.5,-84,-82.5,2-3 meters
0.0,2.5,-81,-81.0,2-3 meters
0.0,2.5,-84,-82.5,2-3 meters
0.0,2.5,-84,-83.0,2-3 meters
0.0,2.5,-83,-83.0,2-3 meters
0.0,2.5,-84,-83.2,2-3 meters
0.0,2.5,-89,-89.0,2-3 meters
0.0,2.5,-82,-85.5,2-3 meters
0.0,2.5,-84,-85.0,2-3 meters
0.0,2.5,-85,-85.0,2-3 meters
0.0,2.5,-77,-83.4,2-3 meters
0.0,2.5,-86,-83.83333333333333,2-3 meters
0.0,2.5,-82,-83.57142857142857,2-3 meters
0.0,2.5,-78,-82.875,2-3 meters
0.0,3.0,-86,-86.0,2-3 meters
0.0,3.0,-85,-85.5,2-3 meters
0.0,3.0,-82,-84.33333333333333,2-3 meters
0.0,3.0,-82,-83.75,2-3 meters
0.0,3.0,-83,-83.6,2-3 meters
0.0,3.0,-86,-86.0,2-3 meters
0.0,3.0,-86,-86.0,2-3 meters
0.0,3.0,-83,-85.0,2-3 meters
0.0,3.0,-84,-84.75,2-3 meters
0.0,3.0,-84,-84.0,2-3 meters
0.0,3.0,-84,-84.0,2-3 meters
0.0,3.0,-84,-84.0,2-3 meters
0.0,3.0,-86,-84.5,2-3 meters
0.0,3.0,-84,-84.0,2-3 meters
0.0,3.0,-85,-84.5,2-3 meters
0.0,3.0,-84,-84.33333333333333,2-3 meters
0.0,3.0,-84,-84.25,2-3 meters
0.0,3.0,-81,-83.6,2-3 meters
0.0,3.0,-81,-81.0,2-3 meters
0.0,3.0,-85,-83.0,2-3 meters
0.0,3.0,-84,-83.33333333333333,2-3 meters
0.0,3.0,-82,-83.0,2-3 meters
