Fingerprint ID,coordinate_X,coordinate_Y,zone,c4:e9:84:42:ac:ff,00:26:5b:d1:93:38,00:06:91:d4:77:02,00:26:5b:d1:93:39,8c:5b:f0:78:a1:d6,00:06:91:d4:77:00,0c:47:3d:13:88:e8,0c:47:3d:13:88:e9,68:b6:fc:5b:01:08,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,cc:32:e5:38:9c:6c,cc:32:e5:38:9c:6d,8c:5b:f0:78:a1:db,00:06:91:d4:77:01,00:06:91:d4:77:05,44:34:a7:2f:00:e4,68:b6:fc:5b:01:09,84:94:8c:7a:e5:08,84:94:8c:7a:e5:09,8c:5b:f0:78:8f:fa,3c:cd:5d:90:3d:73,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3,E1:E9:C3:D9:09:C3
71,0.0,0.0,Living Room,-70,0,-55,0,-66,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-77,0
72,0.0,0.0,Living Room,-71,0,-55,0,-66,-55,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-75,0
73,0.0,0.0,Living Room,-70,0,-55,0,-64,-55,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-75,0
74,0.0,0.0,Living Room,-73,0,-66,0,-68,-65,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-78,0
75,0.0,0.0,Living Room,-74,0,-56,0,-70,-56,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-83,0
76,0.0,0.0,Living Room,-72,0,-56,0,-70,-56,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-77,0
77,0.0,0.0,Living Room,-72,0,-56,0,-72,-56,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-82,0
78,0.0,0.0,Living Room,-72,0,-56,0,-74,-56,0,0,0,-72,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-78,0
79,0.0,0.0,Living Room,-72,0,-56,0,-70,-56,0,0,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-83,0
80,0.0,0.0,Living Room,-68,0,-56,0,-71,-56,0,0,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-83,0
81,0.0,0.0,Living Room,-69,0,-55,0,-69,-55,0,0,0,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-79,0
82,0.0,0.0,Living Room,-72,0,-55,0,-66,-55,0,0,0,-73,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-83,0
83,0.0,0.0,Living Room,-76,0,-56,0,-67,-55,0,0,0,-73,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-80,0
84,0.0,0.0,Living Room,-76,0,-54,0,-70,-54,0,0,0,0,0,0,0,-79,-78,0,0,0,0,0,0,0,0,0,0,0,-82,-68,0
85,0.0,0.0,Living Room,-65,0,-56,0,-70,-55,0,0,0,-79,0,0,0,-79,-78,0,0,0,0,0,0,0,0,0,0,0,-84,-66,0
86,0.0,0.0,Living Room,-66,0,-57,0,-71,-56,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-66,0
87,0.0,0.0,Living Room,-66,0,-57,0,-71,-57,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-64,0
88,0.0,0.0,Living Room,-66,0,-57,0,-72,-57,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-66,0
89,0.0,0.0,Living Room,-67,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-66,0
90,0.0,0.0,Living Room,-61,0,-57,0,-69,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-66,0
91,0.0,0.0,Living Room,-64,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-67,0
92,0.0,0.0,Living Room,-68,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-65,0
93,0.0,0.0,Living Room,-67,0,-57,0,-67,-57,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-66,0
94,0.0,0.0,Bathroom,-63,-80,-70,0,-59,-69,0,0,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-74,0
95,0.0,0.0,Bathroom,-71,0,-70,0,-60,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-73,0
96,0.0,0.0,Bathroom,-74,0,-70,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-73,0
97,0.0,0.0,Bathroom,-70,0,-70,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-78,0
98,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-74,0
99,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-78,0
100,0.0,0.0,Bathroom,-70,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-75,0
101,0.0,0.0,Bathroom,0,0,-69,0,-66,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-79,0
102,0.0,0.0,Bathroom,-72,0,-69,0,-64,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-76,0
103,0.0,0.0,Bathroom,-72,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-78,0
104,0.0,0.0,Bathroom,-73,0,-61,0,-69,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-84,0
105,0.0,0.0,Bathroom,-75,0,-61,0,-67,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,0
106,0.0,0.0,Bathroom,-75,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-81,0
107,0.0,0.0,Bathroom,-75,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-86,0
108,0.0,0.0,Bathroom,-76,0,-61,0,-64,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-82,0
109,0.0,0.0,Bathroom,-76,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-82,0
110,0.0,0.0,Bathroom,-78,0,-61,0,-69,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-86,0
111,0.0,0.0,Bathroom,-78,0,-61,0,-69,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0
112,0.0,0.0,Bathroom,-77,0,-61,0,-68,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-85,0
113,0.0,0.0,Bathroom,-77,0,-61,0,-65,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-82,0
123,0.0,0.0,Bathroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.0,0.0,Bathroom,-61,-80,-65,-80,-59,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-75,0
125,0.0,0.0,Bathroom,-69,-80,-62,-80,-57,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-76,0
126,0.0,0.0,Bathroom,-63,-80,-62,-80,-58,-61,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-70,0
127,0.0,0.0,Bathroom,-64,0,-62,0,-62,-61,-80,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-70,0
128,0.0,0.0,Bathroom,-63,0,-62,0,-61,-61,-80,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-76,0
129,0.0,0.0,Bathroom,-63,0,-63,0,-60,-64,-80,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0
130,0.0,0.0,Bathroom,-63,0,-63,0,-60,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-76,0
131,0.0,0.0,Bathroom,-66,0,-63,0,-60,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-71,0
132,0.0,0.0,Bathroom,-65,0,-63,0,-60,-63,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-76,0
133,,,['Living Room'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,,,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.0,0.0,Bedroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0.0,0.0,Bedroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0.0,0.0,Living Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.0,0.0,Bedroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.0,0.0,"['2-3 meters' '2-3 meters' '3-4 meters' '2-3 meters' '3-4 meters'
 '3-4 meters' '3-4 meters' '3-4 meters' '3-4 meters' '3-4 meters'
 '3-4 meters' '3-4 meters' '3-4 meters' '2-3 meters' '2-3 meters'
 '2-3 meters' '3-4 meters' '2-3 meters' '3-4 meters' '3-4 meters'
 '3-4 meters' '2-3 meters' '2-3 meters' '3-4 meters' '2-3 meters'
 '2-3 meters' '2-3 meters' '2-3 meters' '2-3 meters' '2-3 meters'
 '2-3 meters' '2-3 meters' '2-3 meters' '2-3 meters' '3-4 meters'
 '2-3 meters' '3-4 meters' '3-4 meters' '3-4 meters' '2-3 meters'
 '3-4 meters' '3-4 meters' '2-3 meters' '2-3 meters' '2-3 meters'
 '3-4 meters' '3-4 meters' '2-3 meters']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0.0,0.0,1-2 meters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0.0,0.0,1-2 meters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0.0,0.0,3-4 meters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,-0.5,-0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,-2.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,-0.5,-1.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,-0.5,-1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
